variety;year;price
Cabernet Sauvignon-Sangiov;2008;30.0
Cabernet Sauvignon-Sangiov;2010;32.0
Cabernet Sauvignon-Sangiov;2011;45.0
Cabernet Sauvignon-Sangiov;2013;50.0
Cabernet Sauvignon-Sangiov;2014;35.0
Cabernet Sauvignon-Shiraz ;1999;12.0
Cabernet Sauvignon-Shiraz ;2000;9.0
Cabernet Sauvignon-Shiraz ;2003;40.0
Cabernet Sauvignon-Shiraz ;2004;125.0
Cabernet Sauvignon-Shiraz ;2005;9.0
Cabernet Sauvignon-Shiraz ;2006;21.75
Cabernet Sauvignon-Shiraz ;2007;36.0
Cabernet Sauvignon-Shiraz ;2008;37.3333333333
Cabernet Sauvignon-Shiraz ;2009;35.0
Cabernet Sauvignon-Shiraz ;2010;24.5
Cabernet Sauvignon-Shiraz ;2011;13.0
Cabernet Sauvignon-Shiraz ;2012;16.0
Cabernet Sauvignon-Shiraz ;2013;33.6666666667
Cabernet Sauvignon-Shiraz ;2014;
Cabernet Sauvignon-Shiraz ;2015;23.0
Cabernet Sauvignon-Syrah  ;-1;25.0
Cabernet Sauvignon-Syrah  ;1999;14.0
Cabernet Sauvignon-Syrah  ;2001;14.0
Cabernet Sauvignon-Syrah  ;2004;36.0
Cabernet Sauvignon-Syrah  ;2005;33.25
Cabernet Sauvignon-Syrah  ;2006;36.6666666667
Cabernet Sauvignon-Syrah  ;2007;27.2
Cabernet Sauvignon-Syrah  ;2008;46.3076923077
Cabernet Sauvignon-Syrah  ;2009;36.1764705882
Cabernet Sauvignon-Syrah  ;2010;23.8888888889
Cabernet Sauvignon-Syrah  ;2011;26.5
Cabernet Sauvignon-Syrah  ;2012;32.1
Cabernet Sauvignon-Syrah  ;2013;43.1428571429
Cabernet Sauvignon-Syrah  ;2014;40.6
Cabernet Sauvignon-Syrah  ;2015;14.0
Cabernet Sauvignon-Tempran;1898;13.5
Cabernet Sauvignon-Tempran;2004;17.0
Cabernet Sauvignon-Tempran;2006;12.0
Cabernet Sauvignon-Tempran;2009;17.0
Cabernet Sauvignon-Tempran;2010;13.75
Cabernet Sauvignon-Tempran;2011;14.0
Cabernet Sauvignon-Tempran;2012;14.0
Cabernet-Malbec           ;2014;11.0
Cabernet-Shiraz           ;2013;83.5
Cabernet-Syrah            ;2005;20.0
Cabernet-Syrah            ;2007;30.0
Cabernet-Syrah            ;2008;27.0
Cabernet-Syrah            ;2009;40.0
Cabernet-Syrah            ;2010;22.6
Cabernet-Syrah            ;2011;22.0
Cabernet-Syrah            ;2014;28.0
Canaiolo                  ;2009;17.0
Canaiolo                  ;2012;52.5
Cannonau                  ;2001;22.0
Cannonau                  ;2006;15.0
Cannonau                  ;2007;42.0
Cannonau                  ;2008;25.5
Cannonau                  ;2009;26.6666666667
Cannonau                  ;2010;30.75
Cannonau                  ;2011;30.3333333333
Cannonau                  ;2012;21.6
Cannonau                  ;2013;18.1666666667
Cannonau                  ;2014;24.0
Caprettone                ;2012;19.0
Carcajolu                 ;2015;21.0
Carignan                  ;2005;52.5
Carignan                  ;2006;29.0
Carignan                  ;2007;19.3333333333
Carignan                  ;2008;21.8
Carignan                  ;2009;26.75
Carignan                  ;2010;28.3333333333
Carignan                  ;2011;32.2857142857
Carignan                  ;2012;103.0
Carignan                  ;2013;38.0
Carignan                  ;2014;64.0714285714
Carignan                  ;2015;19.5
