winery,avg_score
Blue Pyrenees                  ,86.0
Blue Reef                      ,81.0
Blue Teal                      ,85.0
Blue Tongue                    ,84.0
Bluenose                       ,85.0
Bluestone                      ,84.0
Blustone                       ,87.0
Blümel                         ,85.0
Board Track Racer              ,87.6666666667
Boas Quintas                   ,87.125
Boasso                         ,88.0
Boatique                       ,88.5
Bocage                         ,83.5
Bocale                         ,86.25
Boccantino                     ,83.0
Bocelli                        ,85.6
Bocopa                         ,84.962962963
Bodega Aconquija               ,87.3333333333
Bodega Atamisque               ,83.0
Bodega Beleluin                ,82.0
Bodega Belgrano                ,87.0
Bodega Calle                   ,86.0
Bodega Carmen Rodríguez        ,92.0
Bodega Carmine Granata         ,83.3846153846
Bodega Catena Zapata           ,87.0
Bodega Chacra                  ,90.0
Bodega Classica                ,86.5555555556
Bodega Cuarto Dominio          ,84.7777777778
Bodega de Edgar                ,86.0
Bodega del Fin del Mundo       ,85.0
Bodega del Sur                 ,86.0
Bodega Don Bosco               ,82.5
Bodega El Transito             ,83.25
Bodega Elena de Mendoza        ,84.25
Bodega Familia Barberis        ,86.0
Bodega Furlotti                ,88.0
Bodega Goulart                 ,86.875
Bodega La Serrana              ,86.0
Bodega Las Cañitas             ,89.0
Bodega Margot                  ,85.0
Bodega Melgarajo               ,82.5
Bodega Merced del Estero       ,88.0
Bodega Norton                  ,86.0638297872
Bodega NQN                     ,85.3333333333
Bodega Otto Bestué             ,86.7272727273
Bodega Patritti                ,88.3333333333
Bodega Poesia                  ,86.5
Bodega Privada                 ,83.6666666667
Bodega Renacer                 ,87.6666666667
Bodega Rolland                 ,80.0
Bodega San Pedro Apóstol       ,81.0
Bodega Tintoralba              ,81.0
Bodega Toneles                 ,87.5
Bodega Virgen de la Sierra     ,83.0
