winery,avg_score,avgscore2
Château Pavie Macquin          ,92.875,92
Château Petit-Village          ,92.2,92
Château Pontac Monplaisir      ,92,92
Château Pontac-Lynch           ,92,92
Château Quintus                ,92.2,92
Château Rol Valentin           ,92,92
Château Rouget                 ,92,92
Château Salettes               ,92,92
Château Sigalas Rabaud         ,92.8,92
Château Smith Haut Lafitte     ,92.65217391,92
Château Suduiraut              ,92.5,92
Château Val d'Arenc            ,92,92
Château Villemaurine           ,92.33333333,92
Château Violette               ,92,92
Cignale                        ,92.5,92
Clark-Clauden                  ,92.66666667,92
Clos Badon-Thunevin            ,92,92
Clos du Clocher                ,92,92
Clos Fourtet                   ,92.33333333,92
Clos l'Eglise                  ,92,92
Cobb                           ,92.55555556,92
Colombera & Garella            ,92.85714286,92
Colombo                        ,92.25,92
Conti Costanti                 ,92.4,92
Contrade di Taurasi - Lonardo  ,92.45454545,92
Cordero di Montezemolo         ,92,92
Corison                        ,92.25,92
Costers del Priorat            ,92,92
Couloir                        ,92.61538462,92
Croix de Beaucaillou           ,92.4,92
Crápula                        ,92,92
Cuttings                       ,92,92
Cyrus                          ,92,92
Cà La Bionda                   ,92,92
Daniel Chotard                 ,92.16666667,92
Darioush                       ,92.16666667,92
Dark Matter                    ,92,92
David Arthur                   ,92.58333333,92
David Duband                   ,92,92
Dehlinger                      ,92.7,92
Demière-Ansiot                 ,92,92
Deutz                          ,92.41666667,92
Dexter                         ,92,92
Di Bruno                       ,92,92
Dolina                         ,92.5,92
Domaine Arnoux Père et Fils    ,92,92
Domaine Bernard Fleuriet et Fil,92.57142857,92
Domaine Castell Reynoard       ,92,92
Domaine Cauhapé                ,92.33333333,92
Domaine Chanson                ,92.5,92
Domaine Christian Moreau Père e,92.26470588,92
Domaine Coquard Loisson-Fleurot,92,92
Domaine Corne-Loup             ,92,92
Domaine Coustarret             ,92.33333333,92
Domaine d'Eugenie              ,92,92
Domaine de Courcel             ,92.5,92
Domaine de Cristia             ,92,92
Domaine de Côtes Rémont        ,92.33333333,92
Domaine de Fontavin            ,92,92
Domaine de la Bégude           ,92.33333333,92
Domaine de la Cote             ,92.5,92
Domaine de la Pousse d'Or      ,92,92
Domaine de la Tour du Bief     ,92,92
Domaine de Suremain            ,92,92
Domaine de Val d'Arenc         ,92,92
Domaine Delaporte              ,92,92
Domaine des Carteresses        ,92.66666667,92
Domaine des Chers              ,92,92
Domaine des Croix              ,92.92857143,92
Domaine Drouhin                ,92.66666667,92
Domaine du Clos Gautier        ,92,92
Domaine du Petit Métris        ,92.2,92
Domaine Dublère                ,92,92
Domaine Henri Delagrange       ,92.66666667,92
Domaine Henri Gouges           ,92.66666667,92
Domaine Jacques Prieur         ,92.36,92
Domaine Jean Foillard          ,92,92
Domaine Jean-Paul et Benoît Dro,92.91304348,92
Domaine la Soumade             ,92,92
Domaine Lathuilière Gravallon  ,92,92
Domaine Luc et Lise Pavelot    ,92,92
Domaine Lucien Barrot et Fils  ,92,92
Domaine Marcel Deiss           ,92.23333333,92
Domaine Marie Berenice         ,92,92
Domaine Pascal Bouchard        ,92.3,92
Domaine Pascal Prunier-Bonheur ,92,92
Domaine Richard Rottiers       ,92,92
Domaine Roche-Audran           ,92,92
Domaine Roger & Christophe More,92,92
Domaine Rossignol-Trapet       ,92.57142857,92
Domaine Serene                 ,92.19178082,92
Domaine Weinbach               ,92.58064516,92
Domaine Zind-Humbrecht         ,92.52475248,92
Dominio de Atauta              ,92.16666667,92
Donum                          ,92.6097561,92
Dos Lagos Vineyards            ,92,92
Double Eagle                   ,92,92
Druida                         ,92,92
Ebony                          ,92,92
Eder                           ,92.15384615,92
Edizione Pennino               ,92,92
Egon Müller                    ,92,92
Eichinger                      ,92.76190476,92
Elephant Hill                  ,92,92
Eli Madyson                    ,92,92
Elio Altare                    ,92,92
Elizabeth Chambers             ,92.05555556,92
Emmerich Knoll                 ,92.93023256,92
EnRoute                        ,92.2,92
Enticer                        ,92,92
Eruption                       ,92,92
Failla                         ,92.4047619,92
Fattoria di Felsina            ,92.5,92
Fattoria La Massa              ,92.5,92
Fernando Dupont                ,92,92
Fife                           ,92,92
Figgins                        ,92.9,92
Finca Mayor                    ,92,92
Fontodi                        ,92.46153846,92
Forge Cellars                  ,92,92
Fort Ross Vineyard             ,92,92
Forward Kidd                   ,92,92
Francesco Sobrero              ,92,92
Fratelli Alessandria           ,92.15,92
Friedrich Becker               ,92.66666667,92
Furioso                        ,92,92
G & L Lurton                   ,92.6,92
Galerie                        ,92.75,92
Genereaj                       ,92,92
Germano Ettore                 ,92.35,92
Geyerhof                       ,92.64705882,92
Giacomo Fenocchio              ,92.31818182,92
Giaconda                       ,92.33333333,92
Gianfranco Alessandria         ,92,92
Gianni Brunelli                ,92.63636364,92
Giovanni Dri Il Roncat         ,92,92
Goldeneye                      ,92.52941176,92
Goldschmidt                    ,92.57894737,92
Gosset                         ,92,92
Gramercy                       ,92.70212766,92
Grangehurst                    ,92,92
Gratavinum                     ,92,92
Graziano Merotto               ,92,92
Grimm's Bluff                  ,92,92
Gypsy Canyon                   ,92,92
H. Gray                        ,92,92
Halcon                         ,92,92
Hall                           ,92.34,92
Hanzell                        ,92,92
Harper Voit                    ,92.2,92
Hartford                       ,92.08333333,92
Hattingley Valley Wines        ,92,92
Heinrich                       ,92,92
Heinrich Hartl                 ,92.75,92
Heitz                          ,92.33333333,92
Herdade dos Grous              ,92.16666667,92
Hertelendy                     ,92.5,92
Hoffmann & Rathbone            ,92.5,92
Hoi Polloi                     ,92,92
Holdredge                      ,92.83333333,92
Hunt & Ryde                    ,92,92
Hunt McKay                     ,92,92
I Saltari                      ,92,92
Inglenook                      ,92.5,92
Inspiration                    ,92.5,92
Io                             ,92,92
Isole e Olena                  ,92.5,92
J. Davies                      ,92.125,92
J. Rochioli                    ,92.33333333,92
Jalits                         ,92.41666667,92
JD                             ,92.5,92
Jean-Pierre Large              ,92,92
Joan Simó                      ,92,92
Joey Tensley                   ,92,92
Joh. Jos. Prüm                 ,92.34285714,92
John Forrest Collection        ,92,92
Jonata                         ,92,92
Josef Jamek                    ,92,92
Joseph Phelps                  ,92.44680851,92
K Vintners                     ,92.6969697,92
Kaesler                        ,92.28571429,92
Kalleske                       ,92,92
Kapcsandy Family Winery        ,92,92
Kathryn Kennedy                ,92.16666667,92
Kay Brothers                   ,92.45454545,92
Kechris                        ,92,92
Ken Wright                     ,92.125,92
Kent Rasmussen                 ,92.33333333,92
Kettle Valley                  ,92,92
Kevin White                    ,92.38461538,92
Kimsey                         ,92.2,92
Kleinood                       ,92,92
Kosta Browne                   ,92,92
Kracher                        ,92.56097561,92
Kurt Hain                      ,92,92
L'Aietta                       ,92,92
La Bastide Saint Dominique     ,92,92
La Bete                        ,92,92
La Ca' Nova                    ,92.66666667,92
La Grande Côte                 ,92,92
La Jota Vineyard               ,92.55555556,92
La Madonna                     ,92,92
La Regola                      ,92,92
La Rioja Alta                  ,92.4,92
La Voix                        ,92.66666667,92
Lagler                         ,92.85714286,92
Laleure-Piot                   ,92,92
Lambert Bridge                 ,92,92
Lamborghini                    ,92,92
Langmeil                       ,92.07692308,92
Langwerth Von Simmern          ,92,92
Lanson                         ,92.11111111,92
Lantides                       ,92,92
LaStella                       ,92,92
Latta                          ,92.5,92
Laughing Stock                 ,92,92
Law                            ,92.6,92
Lazy Creek                     ,92.71428571,92
Le Chiuse                      ,92.11111111,92
Le Macchiole                   ,92.03225806,92
Le Petit Cheval                ,92,92
Le Vieux Pin                   ,92.4,92
Leacock's                      ,92,92
Leda                           ,92,92
Leonetti Cellar                ,92.83333333,92
Lepe                           ,92,92
Les Belles Collines            ,92,92
Liberalia                      ,92.33333333,92
Limerick Lane                  ,92.13043478,92
Livia Fontana                  ,92,92
Lombardi                       ,92,92
Louise Brison                  ,92,92
Lucatoni                       ,92,92
Lucie                          ,92.3,92
Luigi Baudana                  ,92,92
Luis Soares Duarte             ,92,92
Lutum                          ,92,92
Lynmar                         ,92.80508475,92
m2 Wines                       ,92,92
Mad Hatter                     ,92,92
Madmon                         ,92,92
Martinelli                     ,92,92
Mas de Daumas Gassac           ,92,92
Mas de Libian                  ,92,92
Mas des Etoiles                ,92,92
Mas Martinet                   ,92,92
Massena                        ,92,92
Massimo Penna                  ,92.5,92
Mathew Bruno                   ,92,92
Matthias Müller                ,92.66666667,92
Matthiasson                    ,92,92
Merry Edwards                  ,92.54545455,92
Meyer-Näkel                    ,92.66666667,92
Michael Gill Cellars           ,92,92
Michel & Stéphane Ogier        ,92,92
Milziade Antano                ,92.75,92
Miroballi Wines                ,92,92
Mirror                         ,92.71428571,92
Mistress                       ,92,92
Modus Operandi                 ,92,92
Mollie                         ,92.5,92
Monte Cinco                    ,92,92
Montebaco                      ,92,92
Montepeloso                    ,92.5,92
Monteraponi                    ,92.25,92
Montesco                       ,92,92
Moone-Tsai                     ,92.14285714,92
Morell-Lawrence                ,92,92
Mouchão                        ,92.2,92
