,variety,year,price,points,priceq,country
344,Cabernet Blend,1999,56.0,92,5.0,US
345,Cabernet Blend,2002,9.0,85,0.0,Chile
346,Cabernet Blend,2003,97.0,88,5.0,Spain
347,Cabernet Blend,2007,27.625,87,3.0,Chile
348,Cabernet Blend,2008,63.428571428599994,87,5.0,Chile
349,Cabernet Blend,2009,38.6,88,4.0,Chile
350,Cabernet Blend,2013,75.0,90,5.0,US
351,Cabernet Blend,2014,24.3333333333,89,3.0,Morocco
352,Cabernet Franc,-1,21.1428571429,86,2.0,France
353,Cabernet Franc,-1,21.1428571429,86,2.0,US
354,Cabernet Franc,1997,23.0,84,2.0,US
355,Cabernet Franc,1999,23.5714285714,84,2.0,US
356,Cabernet Franc,2001,25.0,87,3.0,Chile
357,Cabernet Franc,2004,44.96,88,5.0,US
358,Cabernet Franc,2005,36.8181818182,87,4.0,US
359,Cabernet Franc,2006,34.0212765957,87,4.0,US
360,Cabernet Franc,2007,31.9295774648,86,4.0,US
361,Cabernet Franc,2007,31.9295774648,86,4.0,Argentina
362,Cabernet Franc,2007,31.9295774648,86,4.0,Israel
363,Cabernet Franc,2008,38.6833333333,88,4.0,US
364,Cabernet Franc,2008,38.6833333333,88,4.0,Argentina
365,Cabernet Franc,2009,34.5111111111,87,4.0,US
366,Cabernet Franc,2009,34.5111111111,87,4.0,France
367,Cabernet Franc,2010,35.4540540541,87,4.0,US
368,Cabernet Franc,2010,35.4540540541,87,4.0,Chile
369,Cabernet Franc,2010,35.4540540541,87,4.0,France
370,Cabernet Franc,2011,39.3543307087,88,4.0,US
371,Cabernet Franc,2011,39.3543307087,88,4.0,France
372,Cabernet Franc,2011,39.3543307087,88,4.0,Chile
373,Cabernet Franc,2012,36.0217391304,88,4.0,US
374,Cabernet Franc,2012,36.0217391304,88,4.0,Canada
375,Cabernet Franc,2012,36.0217391304,88,4.0,France
376,Cabernet Franc,2012,36.0217391304,88,4.0,Chile
377,Cabernet Franc,2012,36.0217391304,88,4.0,Argentina
378,Cabernet Franc,2013,35.5258215962,88,4.0,US
379,Cabernet Franc,2013,35.5258215962,88,4.0,France
380,Cabernet Franc,2013,35.5258215962,88,4.0,South Africa
381,Cabernet Franc,2013,35.5258215962,88,4.0,Argentina
382,Cabernet Franc,2013,35.5258215962,88,4.0,Italy
383,Cabernet Franc,2013,35.5258215962,88,4.0,Canada
384,Cabernet Franc,2014,33.4404761905,88,4.0,Argentina
385,Cabernet Franc,2014,33.4404761905,88,4.0,US
386,Cabernet Franc,2014,33.4404761905,88,4.0,France
387,Cabernet Franc,2014,33.4404761905,88,4.0,Chile
388,Cabernet Franc,2015,24.090909090900002,88,3.0,France
389,Cabernet Franc,2015,24.090909090900002,88,3.0,Argentina
390,Cabernet Franc,2015,24.090909090900002,88,3.0,US
391,Cabernet Franc,2015,24.090909090900002,88,3.0,Uruguay
392,Cabernet Franc,2016,21.0,88,2.0,US
393,Cabernet Franc-Lemberger,2013,20.0,88,2.0,US
394,Cabernet Franc-Lemberger,2015,20.0,86,2.0,US
395,Cabernet Franc-Malbec,2012,38.0,91,4.0,Argentina
396,Cabernet Franc-Malbec,2013,79.0,91,5.0,Argentina
397,Cabernet Franc-Merlot,2011,42.5,89,5.0,US
398,Cabernet Franc-Merlot,2015,23.0,89,2.0,US
399,Cabernet Merlot,-1,14.5,84,0.0,US
400,Cabernet Merlot,1848,40.0,89,4.0,Israel
401,Cabernet Merlot,2002,57.0,89,5.0,Israel
402,Cabernet Merlot,2002,57.0,89,5.0,Canada
403,Cabernet Merlot,2003,29.0,86,3.0,Australia
404,Cabernet Merlot,2004,30.5,88,4.0,Australia
405,Cabernet Merlot,2005,14.5,84,0.0,Australia
406,Cabernet Merlot,2008,12.333333333299999,86,0.0,US
407,Cabernet Merlot,2011,25.0,90,3.0,New Zealand
408,Cabernet Merlot,2013,8.0,82,0.0,US
409,Cabernet Merlot,2015,8.0,85,0.0,US
410,Cabernet Moravia,-1,18.0,85,1.0,Czech Republic
411,Cabernet Moravia,2009,18.0,88,1.0,Czech Republic
412,Cabernet Pfeffer,2010,25.0,84,3.0,US
413,Cabernet Pfeffer,2012,35.0,91,4.0,US
414,Cabernet Sauvignon,-1,17.434782608699994,84,1.0,France
415,Cabernet Sauvignon,-1,17.434782608699994,84,1.0,US
416,Cabernet Sauvignon,1840,75.0,92,5.0,US
417,Cabernet Sauvignon,1848,25.0,91,3.0,Israel
418,Cabernet Sauvignon,1870,30.0,85,3.0,South Africa
419,Cabernet Sauvignon,1985,170.0,86,5.0,US
420,Cabernet Sauvignon,1986,170.0,86,5.0,US
