variety,year,price,points,priceq
Cabernet                  ,2011,13.0,86,0.0
Cabernet                  ,2012,20.25,87,2.0
Cabernet                  ,2013,12.0,87,0.0
Cabernet Blend            ,1998,49.3333333333,87,5.0
Cabernet Blend            ,1999,56.0,92,5.0
Cabernet Blend            ,2000,26.5,87,3.0
Cabernet Blend            ,2002,9.0,85,0.0
Cabernet Blend            ,2003,97.0,88,5.0
Cabernet Blend            ,2004,48.0,88,5.0
Cabernet Blend            ,2005,29.0,89,3.0
Cabernet Blend            ,2006,62.8333333333,88,5.0
Cabernet Blend            ,2007,27.625,87,3.0
Cabernet Blend            ,2008,63.428571428599994,87,5.0
Cabernet Blend            ,2009,38.6,88,4.0
Cabernet Blend            ,2010,41.5,91,5.0
Cabernet Blend            ,2011,84.0,91,5.0
Cabernet Blend            ,2012,59.8333333333,89,5.0
Cabernet Blend            ,2013,75.0,90,5.0
Cabernet Blend            ,2014,24.3333333333,89,3.0
Cabernet Franc            ,-1,21.1428571429,86,2.0
Cabernet Franc            ,1852,23.0,87,2.0
Cabernet Franc            ,1997,23.0,84,2.0
Cabernet Franc            ,1998,15.0,85,0.0
Cabernet Franc            ,1999,23.5714285714,84,2.0
Cabernet Franc            ,2000,21.6666666667,87,2.0
Cabernet Franc            ,2001,25.0,87,3.0
Cabernet Franc            ,2003,45.2,85,5.0
Cabernet Franc            ,2004,44.96,88,5.0
Cabernet Franc            ,2005,36.8181818182,87,4.0
Cabernet Franc            ,2006,34.0212765957,87,4.0
Cabernet Franc            ,2007,31.9295774648,86,4.0
Cabernet Franc            ,2008,38.6833333333,88,4.0
Cabernet Franc            ,2009,34.5111111111,87,4.0
Cabernet Franc            ,2010,35.4540540541,87,4.0
Cabernet Franc            ,2011,39.3543307087,88,4.0
Cabernet Franc            ,2012,36.0217391304,88,4.0
Cabernet Franc            ,2013,35.5258215962,88,4.0
Cabernet Franc            ,2014,33.4404761905,88,4.0
Cabernet Franc            ,2015,24.090909090900002,88,3.0
Cabernet Franc            ,2016,21.0,88,2.0
Cabernet Franc-Cabernet Sa,-1,,90,
Cabernet Franc-Cabernet Sa,2008,22.0,86,2.0
Cabernet Franc-Cabernet Sa,2009,21.5,86,2.0
Cabernet Franc-Cabernet Sa,2010,23.5,90,2.0
Cabernet Franc-Cabernet Sa,2011,60.0,92,5.0
Cabernet Franc-Cabernet Sa,2012,38.0,90,4.0
Cabernet Franc-Cabernet Sa,2013,52.5,91,5.0
Cabernet Franc-Cabernet Sa,2014,17.3333333333,88,1.0
Cabernet Franc-Cabernet Sa,2015,17.0,91,1.0
Cabernet Franc-CarmenĂ¨re ,2011,12.0,86,0.0
Cabernet Franc-CarmenĂ¨re ,2012,12.0,86,0.0
Cabernet Franc-Lemberger  ,2013,20.0,88,2.0
Cabernet Franc-Lemberger  ,2015,20.0,86,2.0
Cabernet Franc-Malbec     ,2012,38.0,91,4.0
Cabernet Franc-Malbec     ,2013,79.0,91,5.0
Cabernet Franc-Merlot     ,2009,59.0,86,5.0
Cabernet Franc-Merlot     ,2010,38.75,89,4.0
Cabernet Franc-Merlot     ,2011,42.5,89,5.0
Cabernet Franc-Merlot     ,2012,47.5,90,5.0
Cabernet Franc-Merlot     ,2013,64.6666666667,90,5.0
Cabernet Franc-Merlot     ,2014,31.0,89,4.0
Cabernet Franc-Merlot     ,2015,23.0,89,2.0
Cabernet Merlot           ,-1,14.5,84,0.0
Cabernet Merlot           ,1848,40.0,89,4.0
Cabernet Merlot           ,2002,57.0,89,5.0
Cabernet Merlot           ,2003,29.0,86,3.0
Cabernet Merlot           ,2004,30.5,88,4.0
Cabernet Merlot           ,2005,14.5,84,0.0
Cabernet Merlot           ,2007,11.0,89,0.0
Cabernet Merlot           ,2008,12.333333333299999,86,0.0
Cabernet Merlot           ,2011,25.0,90,3.0
Cabernet Merlot           ,2012,17.5,88,1.0
Cabernet Merlot           ,2013,8.0,82,0.0
Cabernet Merlot           ,2015,8.0,85,0.0
Cabernet Moravia          ,-1,18.0,85,1.0
Cabernet Moravia          ,2009,18.0,88,1.0
Cabernet Pfeffer          ,2010,25.0,84,3.0
Cabernet Pfeffer          ,2012,35.0,91,4.0
Cabernet Sauvignon        ,-1,17.434782608699997,84,1.0
Cabernet Sauvignon        ,1840,75.0,92,5.0
Cabernet Sauvignon        ,1848,25.0,91,3.0
Cabernet Sauvignon        ,1852,22.0,87,2.0
Cabernet Sauvignon        ,1856,37.0,84,4.0
Cabernet Sauvignon        ,1870,30.0,85,3.0
Cabernet Sauvignon        ,1985,170.0,86,5.0
Cabernet Sauvignon        ,1986,170.0,86,5.0
Cabernet Sauvignon        ,1987,170.0,89,5.0
Cabernet Sauvignon        ,1989,14.0,86,0.0
Cabernet Sauvignon        ,1990,40.0,88,4.0
Cabernet Sauvignon        ,1991,160.0,88,5.0
Cabernet Sauvignon        ,1992,102.5,88,5.0
Cabernet Sauvignon        ,1994,82.5,88,5.0
Cabernet Sauvignon        ,1995,26.0,85,3.0
Cabernet Sauvignon        ,1996,38.8,86,4.0
Cabernet Sauvignon        ,1997,48.909836065600004,89,5.0
Cabernet Sauvignon        ,1998,28.9423076923,86,3.0
Cabernet Sauvignon        ,1999,34.125,87,4.0
Cabernet Sauvignon        ,2000,24.205128205100003,86,3.0
Cabernet Sauvignon        ,2001,28.9117647059,87,3.0
Cabernet Sauvignon        ,2002,27.3333333333,87,3.0
Cabernet Sauvignon        ,2003,45.8333333333,87,5.0
Cabernet Sauvignon        ,2004,53.1178861789,88,5.0
Cabernet Sauvignon        ,2005,45.1921487603,88,5.0
Cabernet Sauvignon        ,2006,42.3564547206,88,5.0
Cabernet Sauvignon        ,2007,46.80459770109999,88,5.0
Cabernet Sauvignon        ,2008,50.3803863299,88,5.0
Cabernet Sauvignon        ,2009,50.640837696300004,88,5.0
Cabernet Sauvignon        ,2010,49.8194444444,88,5.0
Cabernet Sauvignon        ,2011,44.026151930299996,87,5.0
Cabernet Sauvignon        ,2012,54.4252088079,89,5.0
Cabernet Sauvignon        ,2013,54.0917207792,89,5.0
Cabernet Sauvignon        ,2014,42.325316455700005,88,5.0
Cabernet Sauvignon        ,2015,17.554973822,86,1.0
Cabernet Sauvignon        ,2016,13.1363636364,86,0.0
Cabernet Sauvignon Grenach,2011,18.5,88,1.0
Cabernet Sauvignon-Barbera,1998,45.0,84,5.0
Cabernet Sauvignon-Caberne,2003,48.0,86,5.0
Cabernet Sauvignon-Caberne,2005,56.6666666667,89,5.0
Cabernet Sauvignon-Caberne,2006,22.0,85,2.0
Cabernet Sauvignon-Caberne,2007,31.0,90,4.0
Cabernet Sauvignon-Caberne,2008,42.0,90,5.0
Cabernet Sauvignon-Caberne,2009,57.5,92,5.0
Cabernet Sauvignon-Caberne,2010,58.5,86,5.0
Cabernet Sauvignon-Caberne,2011,50.0,90,5.0
Cabernet Sauvignon-Caberne,2012,30.0,90,3.0
Cabernet Sauvignon-Caberne,2013,45.0,87,5.0
Cabernet Sauvignon-Caberne,2014,32.0,86,4.0
Cabernet Sauvignon-CarmenĂ,2003,55.0,90,5.0
Cabernet Sauvignon-CarmenĂ,2005,20.0,89,2.0
Cabernet Sauvignon-CarmenĂ,2006,16.6666666667,86,1.0
Cabernet Sauvignon-CarmenĂ,2007,20.0,87,2.0
Cabernet Sauvignon-CarmenĂ,2008,32.4285714286,87,4.0
Cabernet Sauvignon-CarmenĂ,2009,22.3333333333,85,2.0
Cabernet Sauvignon-CarmenĂ,2010,16.4,86,1.0
Cabernet Sauvignon-CarmenĂ,2011,19.8,86,2.0
Cabernet Sauvignon-CarmenĂ,2012,38.4,90,4.0
