variety,year,price,points
Cabernet Sauvignon        ,2009,50.6408376963,88
Cabernet Sauvignon        ,2010,49.8194444444,88
Cabernet Sauvignon        ,2011,44.0261519303,87
Cabernet Sauvignon        ,2012,54.4252088079,89
Cabernet Sauvignon        ,2013,54.0917207792,89
Cabernet Sauvignon        ,2014,42.3253164557,88
Cabernet Sauvignon        ,2015,17.554973822,86
Cabernet Sauvignon        ,2016,13.1363636364,86
Cabernet Sauvignon Grenach,2011,18.5,88
Cabernet Sauvignon-Barbera,1998,45.0,84
Cabernet Sauvignon-Caberne,2003,48.0,86
Cabernet Sauvignon-Caberne,2005,56.6666666667,89
Cabernet Sauvignon-Caberne,2006,22.0,85
Cabernet Sauvignon-Caberne,2007,31.0,90
Cabernet Sauvignon-Caberne,2008,42.0,90
Cabernet Sauvignon-Caberne,2009,57.5,92
Cabernet Sauvignon-Caberne,2010,58.5,86
Cabernet Sauvignon-Caberne,2011,50.0,90
Cabernet Sauvignon-Caberne,2012,30.0,90
Cabernet Sauvignon-Caberne,2013,45.0,87
Cabernet Sauvignon-Caberne,2014,32.0,86
Cabernet Sauvignon-Carmen�,2003,55.0,90
Cabernet Sauvignon-Carmen�,2005,20.0,89
Cabernet Sauvignon-Carmen�,2006,16.6666666667,86
Cabernet Sauvignon-Carmen�,2007,20.0,87
Cabernet Sauvignon-Carmen�,2008,32.4285714286,87
Cabernet Sauvignon-Carmen�,2009,22.3333333333,85
Cabernet Sauvignon-Carmen�,2010,16.4,86
Cabernet Sauvignon-Carmen�,2011,19.8,86
Cabernet Sauvignon-Carmen�,2012,38.4,90
Cabernet Sauvignon-Carmen�,2013,26.3333333333,88
Cabernet Sauvignon-Carmen�,2014,16.5,86
Cabernet Sauvignon-Carmen�,2015,19.25,86
Cabernet Sauvignon-Malbec ,2006,8.0,82
Cabernet Sauvignon-Malbec ,2007,10.0,81
Cabernet Sauvignon-Malbec ,2009,23.8,86
Cabernet Sauvignon-Malbec ,2010,56.0,87
Cabernet Sauvignon-Malbec ,2011,31.0,85
Cabernet Sauvignon-Malbec ,2012,36.0,89
Cabernet Sauvignon-Malbec ,2013,125.0,94
Cabernet Sauvignon-Malbec ,2014,49.5,91
Cabernet Sauvignon-Merlot ,-1,20.0,86
Cabernet Sauvignon-Merlot ,1848,25.0,89
Cabernet Sauvignon-Merlot ,1997,47.5,87
Cabernet Sauvignon-Merlot ,1998,51.0,93
Cabernet Sauvignon-Merlot ,1999,15.0,85
Cabernet Sauvignon-Merlot ,2000,15.2,86
Cabernet Sauvignon-Merlot ,2001,11.0,85
Cabernet Sauvignon-Merlot ,2002,12.6666666667,84
Cabernet Sauvignon-Merlot ,2003,32.5,86
Cabernet Sauvignon-Merlot ,2004,31.125,88
Cabernet Sauvignon-Merlot ,2005,19.375,87
Cabernet Sauvignon-Merlot ,2006,20.3333333333,87
Cabernet Sauvignon-Merlot ,2007,18.8333333333,88
Cabernet Sauvignon-Merlot ,2008,35.0,89
Cabernet Sauvignon-Merlot ,2009,36.6666666667,88
Cabernet Sauvignon-Merlot ,2010,36.2727272727,87
Cabernet Sauvignon-Merlot ,2011,30.0,86
Cabernet Sauvignon-Merlot ,2012,29.6666666667,89
Cabernet Sauvignon-Merlot ,2013,37.0,88
Cabernet Sauvignon-Merlot ,2014,20.5,87
Cabernet Sauvignon-Merlot ,2015,12.25,86
Cabernet Sauvignon-Merlot ,2016,11.6666666667,86
Cabernet Sauvignon-Merlot-,2009,10.0,87
Cabernet Sauvignon-Merlot-,2013,20.0,91
Cabernet Sauvignon-Sangiov,2007,45.0,87
Cabernet Sauvignon-Sangiov,2008,30.0,88
Cabernet Sauvignon-Sangiov,2010,32.0,90
Cabernet Sauvignon-Sangiov,2011,45.0,88
Cabernet Sauvignon-Sangiov,2013,50.0,90
Cabernet Sauvignon-Sangiov,2014,35.0,89
Cabernet Sauvignon-Shiraz ,1999,12.0,86
Cabernet Sauvignon-Shiraz ,2000,9.0,83
Cabernet Sauvignon-Shiraz ,2003,40.0,81
Cabernet Sauvignon-Shiraz ,2004,125.0,92
Cabernet Sauvignon-Shiraz ,2005,9.0,88
Cabernet Sauvignon-Shiraz ,2006,21.75,86
Cabernet Sauvignon-Shiraz ,2007,36.0,91
Cabernet Sauvignon-Shiraz ,2008,37.3333333333,91
Cabernet Sauvignon-Shiraz ,2009,35.0,91
Cabernet Sauvignon-Shiraz ,2010,24.5,87
Cabernet Sauvignon-Shiraz ,2011,13.0,85
Cabernet Sauvignon-Shiraz ,2012,16.0,90
Cabernet Sauvignon-Shiraz ,2013,33.6666666667,91
Cabernet Sauvignon-Shiraz ,2014,,90
Cabernet Sauvignon-Shiraz ,2015,23.0,90
Cabernet Sauvignon-Syrah  ,-1,25.0,90
Cabernet Sauvignon-Syrah  ,1999,14.0,88
Cabernet Sauvignon-Syrah  ,2001,14.0,85
Cabernet Sauvignon-Syrah  ,2004,36.0,86
Cabernet Sauvignon-Syrah  ,2005,33.25,88
Cabernet Sauvignon-Syrah  ,2006,36.6666666667,89
Cabernet Sauvignon-Syrah  ,2007,27.2,89
Cabernet Sauvignon-Syrah  ,2008,46.3076923077,89
Cabernet Sauvignon-Syrah  ,2009,36.1764705882,88
Cabernet Sauvignon-Syrah  ,2010,23.8888888889,88
Cabernet Sauvignon-Syrah  ,2011,26.5,88
Cabernet Sauvignon-Syrah  ,2012,32.1,87
Cabernet Sauvignon-Syrah  ,2013,43.1428571429,89
Cabernet Sauvignon-Syrah  ,2014,40.6,89
Cabernet Sauvignon-Syrah  ,2015,14.0,88
Cabernet Sauvignon-Tempran,1898,13.5,88
Cabernet Sauvignon-Tempran,2004,17.0,81
Cabernet Sauvignon-Tempran,2006,12.0,87
Cabernet Sauvignon-Tempran,2009,17.0,86
Cabernet Sauvignon-Tempran,2010,13.75,86
Cabernet Sauvignon-Tempran,2011,14.0,86
Cabernet Sauvignon-Tempran,2012,14.0,86
Cabernet-Malbec           ,2014,11.0,86
Cabernet-Shiraz           ,2013,83.5,91
Cabernet-Syrah            ,2005,20.0,87
Cabernet-Syrah            ,2007,30.0,93
Cabernet-Syrah            ,2008,27.0,92
Cabernet-Syrah            ,2009,40.0,88
Cabernet-Syrah            ,2010,22.6,88
Cabernet-Syrah            ,2011,22.0,88
Cabernet-Syrah            ,2014,28.0,89
Canaiolo                  ,2009,17.0,87
Canaiolo                  ,2012,52.5,89
Cannonau                  ,2001,22.0,88
Cannonau                  ,2006,15.0,87
Cannonau                  ,2007,42.0,89
Cannonau                  ,2008,25.5,86
